"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-02","56","66","45"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-03","51","65","36"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-04","51","65","37"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-05","48","63","33"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-06","55","69","40"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-07","56","69","43"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-08","59","73","44"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-09","67","85","48"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-10","53","59","46"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-11","46","51","40"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-12","47","48","46"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-13","50","53","46"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-14","54","62","45"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-15","56","66","46"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-16","57","70","43"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-17","61","78","44"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-18","58","69","46"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-19","60","68","51"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-20","61","72","50"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-21","45","51","38"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-22","42","53","30"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-23","44","56","32"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-24","50","62","37"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-25","51","63","39"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-26","49","51","46"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-27","50","58","42"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-28","52","58","45"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-29","47","51","43"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-30","45","53","37"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-10-31","43","52","33"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-01","41","49","32"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-02","41","51","30"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-03","41","51","31"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-04","47","59","34"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-05","41","45","37"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-06","39","49","28"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-07","34","44","23"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-08","36","39","32"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-09","35","41","29"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-10","32","37","27"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-11","29","36","22"
"USW00024131","BOISE AIR TERMINAL, ID US","2000-11-12","28","34","21"
